
| :symbol | :qty |           :px-open |   :dt-open |          :px-close |  :dt-close |                 :pl |
|   FSRPX |  100 |  44.20000076293945 | 2004-08-07 | 43.880001068115234 | 2004-08-12 | -31.999969482421875 |
|   FSAGX |  100 | 23.399999618530273 | 2004-08-17 | 23.670000076293945 | 2004-08-24 |  27.000045776367188 |
|   FMCDX |  100 | 21.399999618530273 | 2004-08-25 | 23.639999389648438 | 2005-01-07 |   223.9999771118164 |
|   FWRLX |  100 |  5.739999771118164 | 2005-01-08 |  5.489999771118164 | 2005-01-24 |               -25.0 |
|   FSPCX |  100 |  60.61000061035156 | 2005-01-25 |  59.65999984741211 | 2005-03-22 |  -95.00007629394531 |
|   FSNGX |  100 | 33.150001525878906 | 2005-03-23 | 32.650001525878906 | 2005-03-29 |               -50.0 |
|   FDFAX |  100 |  51.16999816894531 | 2005-03-30 | 49.849998474121094 | 2005-04-15 | -131.99996948242188 |
|   FPHAX |  100 |  8.720000267028809 | 2005-04-16 |  9.930000305175781 | 2006-06-09 |  121.00000381469727 |
|   FSDCX |  100 | 19.780000686645508 | 2006-06-10 | 18.690000534057617 | 2006-06-13 | -109.00001525878906 |
|   FSRFX |  100 | 48.900001525878906 | 2006-06-19 |  50.83000183105469 | 2006-07-12 |  193.00003051757812 |
|   FSENX |  100 |  50.68000030517578 | 2006-07-13 | 49.380001068115234 | 2006-07-17 |  -129.9999237060547 |
|   FSRBX |  100 |  36.81999969482422 | 2006-07-19 | 36.959999084472656 | 2006-08-09 |   13.99993896484375 |
|   FSNGX |  100 |  40.95000076293945 | 2006-08-10 |  39.56999969482422 | 2006-08-14 | -138.00010681152344 |
|   FSCSX |  100 |  56.20000076293945 | 2006-08-15 |  68.19999694824219 | 2007-08-15 |  1199.9996185302734 |
|   FSPCX |  100 |  68.94000244140625 | 2007-08-21 |   68.0999984741211 | 2007-08-28 |  -84.00039672851562 |
|   FSDCX |  100 |  23.43000030517578 | 2007-09-04 |               23.0 | 2007-09-07 | -43.000030517578125 |
|   FSNGX |  100 | 43.349998474121094 | 2007-09-08 | 46.619998931884766 | 2007-11-12 |   327.0000457763672 |
|   FSAIX |  100 |   28.1200008392334 | 2004-03-16 |              43.75 | 2007-12-14 |  1562.9999160766602 |
|   FDFAX |  100 |  67.95999908447266 | 2007-11-13 |   66.5199966430664 | 2007-12-14 |   -144.000244140625 |
|   FSCSX |  100 |   79.5199966430664 | 2007-12-15 |   77.4000015258789 | 2007-12-17 |    -211.99951171875 |
|   FSDCX |  100 | 22.959999084472656 | 2007-12-21 |              22.75 | 2007-12-27 | -20.999908447265625 |
|   FSDPX |  100 | 58.959999084472656 | 2007-12-28 |  58.47999954223633 | 2007-12-31 |  -47.99995422363281 |
|   FWRLX |  100 |  8.770000457763672 | 2007-12-21 |  8.640000343322754 | 2007-12-31 | -13.000011444091797 |
|   FSNGX |  100 |   48.4900016784668 | 2008-01-01 | 47.689998626708984 | 2008-01-04 |  -80.00030517578125 |
|   FNARX |  100 |  40.04999923706055 | 2008-01-01 |               39.5 | 2008-01-04 |  -54.99992370605469 |
|   FPHAX |  100 | 12.039999961853027 | 2008-01-10 | 11.680000305175781 | 2008-01-15 |  -35.99996566772461 |
|   FSAGX |  100 |  42.72999954223633 | 2008-01-05 | 42.650001525878906 | 2008-01-16 | -7.9998016357421875 |
|   FSDAX |  100 | 56.279998779296875 | 2004-08-07 |  78.70999908447266 | 2008-01-17 |   2243.000030517578 |
|   FSDPX |  100 |  54.08000183105469 | 2008-01-28 |  53.84000015258789 | 2008-02-05 | -24.000167846679688 |
|   FSRBX |  100 | 23.520000457763672 | 2008-01-25 | 23.760000228881836 | 2008-02-05 |  23.999977111816406 |
|   FSHOX |  100 | 33.939998626708984 | 2008-01-24 | 33.310001373291016 | 2008-02-05 | -62.999725341796875 |
|   FSAGX |  100 | 42.779998779296875 | 2008-02-11 | 41.880001068115234 | 2008-02-12 |  -89.99977111816406 |
|   FSDCX |  100 |   19.8799991607666 | 2008-02-13 | 19.510000228881836 | 2008-02-14 |  -36.99989318847656 |
|   FSRFX |  100 | 46.150001525878906 | 2008-02-06 | 45.619998931884766 | 2008-02-28 |  -53.00025939941406 |
|   FSDPX |  100 |  55.66999816894531 | 2008-02-12 |   57.0099983215332 | 2008-02-29 |  134.00001525878906 |
|   FNARX |  100 |               39.0 | 2008-02-29 |  38.65999984741211 | 2008-03-04 |  -34.00001525878906 |
|   FSENX |  100 |   64.4800033569336 | 2008-03-01 |  63.83000183105469 | 2008-03-04 |  -65.00015258789062 |
|   FSNGX |  100 |  47.56999969482422 | 2008-02-15 |   49.2599983215332 | 2008-03-06 |  168.99986267089844 |
|   FSAGX |  100 |  47.66999816894531 | 2008-03-05 | 44.869998931884766 | 2008-03-10 |  -279.9999237060547 |
|   FSDPX |  100 |  56.66999816894531 | 2008-03-14 |   55.2599983215332 | 2008-03-17 | -140.99998474121094 |
|   FSCHX |  100 |  79.20999908447266 | 2008-03-14 |  77.38999938964844 | 2008-03-17 | -181.99996948242188 |
|   FSAGX |  100 |  47.95000076293945 | 2008-03-14 |  45.61000061035156 | 2008-03-18 | -234.00001525878906 |
|   FSRBX |  100 | 23.520000457763672 | 2008-03-24 | 22.770000457763672 | 2008-03-26 |               -75.0 |
|   FIDSX |  100 |   87.0199966430664 | 2008-03-24 |  83.31999969482422 | 2008-03-27 | -369.99969482421875 |
|   FBSOX |  100 | 15.039999961853027 | 2008-03-24 | 14.640000343322754 | 2008-03-28 | -39.999961853027344 |
|   FWRLX |  100 |  6.949999809265137 | 2008-03-28 |  6.960000038146973 | 2008-04-11 |  1.0000228881835938 |
|   FSNGX |  100 | 48.599998474121094 | 2008-03-29 |  49.61000061035156 | 2008-04-11 |  101.00021362304688 |
|   FSDPX |  100 |  56.38999938964844 | 2008-03-27 | 58.970001220703125 | 2008-04-29 |  258.00018310546875 |
|   FNARX |  100 |  38.97999954223633 | 2008-04-12 |  40.18000030517578 | 2008-04-29 |  120.00007629394531 |
|   FSCHX |  100 |  84.91999816894531 | 2008-04-12 |  84.73999786376953 | 2008-04-29 | -18.000030517578125 |
|   FWRLX |  100 |  7.539999961853027 | 2008-04-30 |                7.5 | 2008-05-07 | -3.9999961853027344 |
|   FBMPX |  100 |  34.34000015258789 | 2008-04-30 |  35.54999923706055 | 2008-05-23 |  120.99990844726562 |
|   FNARX |  100 |  43.93000030517578 | 2008-05-24 |  43.33000183105469 | 2008-05-27 | -59.999847412109375 |
|   FSDCX |  100 |   21.1299991607666 | 2008-04-30 | 21.610000610351562 | 2008-06-11 |  48.000144958496094 |
|   FMCDX |  100 | 21.829999923706055 | 2008-05-08 | 21.440000534057617 | 2008-06-11 |  -38.99993896484375 |
|   FMCEX |  100 | 21.149999618530273 | 2008-05-28 | 20.549999237060547 | 2008-06-11 | -60.000038146972656 |
|   FSCSX |  100 |  75.80000305175781 | 2008-06-17 |  75.04000091552734 | 2008-06-18 |  -76.00021362304688 |
|   FSDPX |  100 |  64.56999969482422 | 2008-06-19 | 63.709999084472656 | 2008-06-20 |  -86.00006103515625 |
|   FWRLX |  100 |  7.539999961853027 | 2008-06-17 |  7.300000190734863 | 2008-06-20 | -23.999977111816406 |
|   FSCHX |  100 |  92.91999816894531 | 2008-06-12 |  91.83000183105469 | 2008-06-24 |  -108.9996337890625 |
|   FSESX |  100 | 113.06999969482422 | 2008-06-21 | 114.88999938964844 | 2008-06-26 |  181.99996948242188 |
